Accession	BSF	PCF
Tb10.v4.0078	0	0
Tb09.v2.0040	11.3043	8.7571
Tb927.8.4730	0	0
Tb11.02.2760	22.083	26.8452
Tb10.v4.0183	0	0
Tb927.8.4470	41.8678	39.7496
Tb11.01.7535	0	0
Tb927.7.5460	114.6796	83.7116
Tb927.4.580	26.5074	21.5729
Tb927.5.2260	4.7496	141.7656
Tb09.160.3190	27.285	25.2665
Tb927.4.740	128.5793	128.0519
Tb927_10_v4.snoRNA.0022:snoRNA	0	0
Tb927.8.7110	29.5159	15.9705
Tb09.211.3660	59.3398	67.3876
Tb09.160.0550	44.1593	53.2456
Tb927.8.7350	0.5337	2.6035
Tb927.8.5560	49.3694	45.4927
Tb927.8.6980	72.1507	55.2355
Tb927.4.1040	35.9821	20.4273
Tb927.10.7330	117.3909	326.8638
Tb927.7.7430	0.3038	1.4709
Tb927.1.820	38.1476	48.992
Tb11.02.2650	36.2366	31.8319
Tb11.02.3640	26.6534	32.0495
Tb927.8.2640	164.734	130.8998
Tb927.4.5200	19.3597	24.0467
Tb09.160.1010	103.6844	89.4781
Tb11.1400	2.0349	1.9356
Tb927.6.5490	29.446	0
Tb11.01.0690	33.1075	39.4702
Tb927.10.11400	49.5067	50.7705
Tb11.02.3000	31.6675	46.442
Tb927.3.510	0.6989	0
Tb927.1.3130	52.6171	43.9908
Tb927.4.5210	84.1308	58.1548
Tb09.v2.0310	0	0
Tb09.160.0940	12.8662	9.7592
Tb09.v4.0173	0	0
Tb927.6.2710	46.3749	40.355
Tb927.1.3930	2.4534	4.5659
Tb927.5.2343	11.8007	22.9073
Tb09.160.4330	49.9751	103.187
Tb927.7.140	0	0
Tb09.160.4250	19.7675	16.7873
Tb927.2.6080	71.641	51.1246
Tb927.10.16460	0	0
Tb927.5.3170	42.6561	88.3366
Tb09.v2.0300	0	0
Tb09.160.3960	61.7292	53.1269
Tb05.5K5.480	0	0
Tb927.10.14550	25.5839	60.4666
Tb927.10.14300	52.6078	41.8829
Tb11.47.0009	48.2113	40.1394
Tb09.142.0130	0	0
Tb927.8.1270	28.769	86.4264
Tb927.8.2420	62.9566	63.8121
Tb927.8.260	0	0
Tb927.10.11530	67.7689	76.2243
Tb927.6.2270	0	0
Tb11.22.0003	31.8021	45.1426
Tb927.8.1910	85.8239	113.772
Tb927.7.6040	3.0271	0.5772
Tb09.v4.0181	0	0
Tb10.v4.0174	0	0
Tb927.5.5280	0	0
Tb927.10.11980	27.415	31.3885
Tb927.5.430b	0	0
Tb09.v1.0110	14.6966	33.4065
Tb11.01.2600	71.3331	71.5026
Tb11.24.0013	0	0
Tb927.5.3830	172.4888	176.7433
tmp.1.80	0	0
Tb927.10.14310	91.9516	76.1001
Tb927.10.7300	111.6511	67.9463
Tb927.10.2250	52.1134	44.6656
Tb927.7.1330	56.26	24.8313
Tb11.02.3670	27.0672	30.4303
Tb11.01.6640	78.2131	66.8549
Tb927.7.980	27.0931	28.8598
